x,y,latent,bandcontrast,cluster
82,196,-3.274635e-05,56.0,1
83,196,0.00022102869,63.0,1
84,196,6.846909e-05,66.0,1
85,196,0.000349053,75.0,1
86,196,6.79394e-05,76.0,1
87,196,-8.527719e-05,85.0,2
88,196,0.0001882916,85.0,2
89,196,0.00034587632,87.0,2
20,197,-7.4480544e-05,158.0,0
21,197,-5.311024e-05,158.0,0
22,197,-0.0002494171,158.0,0
23,197,-0.00011839054,157.0,0
24,197,-0.00010604452,158.0,0
25,197,4.5487424e-05,159.0,0
26,197,2.6837515e-05,158.0,0
27,197,0.00011373294,157.0,0
28,197,9.973149e-05,145.0,0
29,197,-3.921881e-05,135.0,0
30,197,0.00011065384,98.0,2
31,197,-3.988197e-05,87.0,2
32,197,0.00022188551,76.0,1
33,197,4.0958752e-05,81.0,1
34,197,0.00010590255,92.0,2
35,197,7.36753e-05,94.0,2
36,197,0.00042829727,95.0,2
37,197,0.00011609594,99.0,2
38,197,0.00032315816,93.0,2
39,197,0.00013268262,88.0,2
40,197,7.370446e-05,69.0,1
41,197,0.00010333274,55.0,1
42,197,0.00040188996,66.0,1
43,197,0.0003985181,66.0,1
44,197,0.00018186786,77.0,1
45,197,0.0002291883,65.0,1
46,197,0.00024438137,64.0,1
47,197,0.00020117569,71.0,1
48,197,-9.0167625e-05,72.0,1
49,197,0.00020442862,71.0,1
50,197,0.00040199573,80.0,1
51,197,0.0002287302,85.0,2
52,197,0.00010768947,76.0,1
53,197,0.00029730878,78.0,1
54,197,9.168172e-06,76.0,1
55,197,0.00042338134,78.0,1
56,197,2.6498048e-05,70.0,1
57,197,0.0003353975,63.0,1
58,197,0.00011239975,70.0,1
59,197,-2.813607e-05,70.0,1
60,197,0.00013925997,76.0,1
61,197,8.331903e-05,70.0,1
62,197,0.00012332737,64.0,1
63,197,0.00018235942,63.0,1
64,197,,42.0,-1
65,197,,31.0,-1
66,197,0.00028754998,49.0,1
67,197,3.7215126e-05,57.0,1
68,197,,41.0,-1
69,197,,45.0,-1
70,197,,39.0,-1
71,197,,41.0,-1
72,197,,44.0,-1
73,197,0.00029699155,58.0,1
74,197,0.0003424554,63.0,1
75,197,0.00017094036,57.0,1
76,197,0.00015242863,64.0,1
77,197,0.00024561968,72.0,1
78,197,0.00046584575,69.0,1
79,197,1.4914665e-05,77.0,1
80,197,-1.7158338e-05,66.0,1
81,197,0.00026078237,62.0,1
82,197,0.00048717036,66.0,1
83,197,0.000115146104,57.0,1
84,197,-8.089532e-05,57.0,1
85,197,-6.660499e-05,63.0,1
86,197,0.00016526756,74.0,1
87,197,0.00033473934,70.0,1
88,197,0.00034268614,75.0,1
89,197,0.00030070206,75.0,1
20,198,9.067066e-06,154.0,0
21,198,0.00014647905,153.0,0
22,198,-8.9026114e-05,155.0,0
23,198,-0.00011487375,153.0,0
24,198,-0.00011188787,157.0,0
25,198,0.00023475877,156.0,0
26,198,-5.829218e-05,154.0,0
27,198,0.000120143,157.0,0
28,198,-0.00020003726,150.0,0
29,198,-0.00011276489,141.0,0
30,198,3.5490084e-05,138.0,0
31,198,0.00041926495,112.0,2
32,198,-7.4757496e-05,89.0,2
33,198,0.00041201536,87.0,2
34,198,0.00028521573,75.0,1
35,198,2.5030982e-05,84.0,2
36,198,5.8006437e-05,96.0,2
37,198,0.0001616148,86.0,2
38,198,-4.305615e-05,92.0,2
39,198,0.00021598715,94.0,2
40,198,0.00015161111,60.0,1
41,198,0.00027901283,53.0,1
42,198,7.628958e-05,61.0,1
43,198,0.00015754445,73.0,1
44,198,0.00022071355,71.0,1
45,198,0.0003318041,77.0,1
46,198,0.00026982883,68.0,1
47,198,0.00017153728,74.0,1
48,198,0.00027752144,84.0,2
49,198,7.671543e-05,85.0,2
50,198,0.0001420189,86.0,2
51,198,0.00034626777,84.0,2
52,198,-2.3136963e-06,82.0,1
53,198,0.00017098174,85.0,2
54,198,0.0004094831,87.0,2
55,198,0.00042122573,93.0,2
56,198,0.00012954744,81.0,1
57,198,-0.00021524879,64.0,1
58,198,0.0004973954,51.0,1
59,198,8.731149e-06,65.0,1
60,198,7.632084e-05,62.0,1
61,198,9.8916586e-05,62.0,1
62,198,0.00051998015,68.0,1
63,198,-3.403856e-05,52.0,1
64,198,,39.0,-1
65,198,0.00011198275,57.0,1
66,198,,40.0,-1
67,198,0.00024877134,49.0,1
68,198,0.00026985223,51.0,1
69,198,3.5836594e-05,54.0,1
70,198,8.0263824e-05,52.0,1
71,198,,44.0,-1
72,198,2.8780254e-05,53.0,1
73,198,4.630495e-05,56.0,1
74,198,2.8469774e-05,66.0,1
75,198,7.8804966e-05,65.0,1
76,198,0.00019415404,69.0,1
77,198,0.00023122778,75.0,1
78,198,0.00031874096,77.0,1
79,198,4.4995744e-05,77.0,1
80,198,6.663409e-05,69.0,1
81,198,5.5041222e-05,83.0,1
82,198,-7.398403e-05,64.0,1
83,198,-1.7027662e-05,60.0,1
84,198,0.0003851629,55.0,1
85,198,0.0001510653,55.0,1
86,198,0.00016338506,64.0,1
87,198,0.00013554364,71.0,1
88,198,0.0001237517,72.0,1
89,198,0.00034575572,65.0,1
20,199,0.00010536041,152.0,0
21,199,-4.982855e-05,153.0,0
22,199,-6.74022e-05,156.0,0
23,199,-4.556292e-05,157.0,0
24,199,-3.0628056e-05,162.0,0
25,199,-8.406595e-05,155.0,0
26,199,-0.00019646873,149.0,0
27,199,0.00014672906,157.0,0
28,199,4.6550587e-05,154.0,0
29,199,-0.00031873272,146.0,0
30,199,6.301858e-05,149.0,0
31,199,0.00012269651,137.0,0
32,199,9.754178e-05,113.0,2
33,199,0.00023250125,82.0,1
34,199,-0.00010641856,82.0,1
35,199,0.000288854,74.0,1
36,199,0.00025374937,87.0,2
37,199,0.00019042741,86.0,2
38,199,0.00015030662,77.0,1
39,199,0.00043047493,88.0,2
40,199,0.00022906045,58.0,1
41,199,5.2434334e-05,53.0,1
42,199,0.00018390588,72.0,1
43,199,0.00014906871,77.0,1
44,199,0.00042837043,81.0,1
45,199,-1.6587728e-05,77.0,1
46,199,8.5924985e-06,76.0,1
47,199,9.03178e-05,81.0,1
48,199,-7.66071e-06,84.0,2
49,199,0.00019526092,93.0,2
50,199,9.845244e-06,89.0,2
51,199,0.00030478014,81.0,1
52,199,-6.790366e-05,82.0,1
53,199,0.00022278371,84.0,2
54,199,0.0004969536,88.0,2
55,199,0.00014892773,88.0,2
56,199,3.664859e-05,85.0,2
57,199,6.862014e-05,67.0,1
58,199,-5.49588e-05,62.0,1
59,199,0.00014129002,55.0,1
60,199,6.5925997e-07,57.0,1
61,199,0.0002089715,63.0,1
62,199,9.662227e-05,58.0,1
63,199,,36.0,-1
64,199,,36.0,-1
65,199,0.00027496606,50.0,1
66,199,0.0003826011,49.0,1
67,199,0.00032536447,47.0,1
68,199,0.00024624483,51.0,1
69,199,0.00021857518,46.0,1
70,199,,45.0,-1
71,199,-0.0001174768,50.0,1
72,199,4.688173e-05,54.0,1
73,199,0.00010504795,62.0,1
74,199,0.00013244478,62.0,1
75,199,0.00024810783,71.0,1
76,199,4.312594e-05,71.0,1
